"Step","ppo_bc_seed_5__2024_03_27_18_56_41_357922.Valkyrie - metrics/success","ppo_bc_seed_5__2024_03_27_18_56_41_357922.Valkyrie - metrics/success__MIN","ppo_bc_seed_5__2024_03_27_18_56_41_357922.Valkyrie - metrics/success__MAX","ppo_bc_seed_4__2024_03_27_18_56_48_751371.Valkyrie - metrics/success","ppo_bc_seed_4__2024_03_27_18_56_48_751371.Valkyrie - metrics/success__MIN","ppo_bc_seed_4__2024_03_27_18_56_48_751371.Valkyrie - metrics/success__MAX","ppo_bc_seed_3__2024_03_27_18_56_53_324181.Valkyrie - metrics/success","ppo_bc_seed_3__2024_03_27_18_56_53_324181.Valkyrie - metrics/success__MIN","ppo_bc_seed_3__2024_03_27_18_56_53_324181.Valkyrie - metrics/success__MAX","ppo_bc_seed_2__2024_03_27_18_56_42_298816.Valkyrie - metrics/success","ppo_bc_seed_2__2024_03_27_18_56_42_298816.Valkyrie - metrics/success__MIN","ppo_bc_seed_2__2024_03_27_18_56_42_298816.Valkyrie - metrics/success__MAX","ppo_bc_seed_1__2024_03_27_18_57_03_578324.Valkyrie - metrics/success","ppo_bc_seed_1__2024_03_27_18_57_03_578324.Valkyrie - metrics/success__MIN","ppo_bc_seed_1__2024_03_27_18_57_03_578324.Valkyrie - metrics/success__MAX"
"304","0.20000000298023224","0.20000000298023224","0.20000000298023224","0","0","0","0","0","0","0","0","0","0","0","0"
"308","0","0","0","0","0","0","0.20000000298023224","0.20000000298023224","0.20000000298023224","0","0","0","0","0","0"
"312","0.20000000298023224","0.20000000298023224","0.20000000298023224","0.20000000298023224","0.20000000298023224","0.20000000298023224","0.4000000059604645","0.4000000059604645","0.4000000059604645","0","0","0","0.20000000298023224","0.20000000298023224","0.20000000298023224"
"316","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"320","0","0","0","0","0","0","0.20000000298023224","0.20000000298023224","0.20000000298023224","0","0","0","0.20000000298023224","0.20000000298023224","0.20000000298023224"
"324","0.20000000298023224","0.20000000298023224","0.20000000298023224","0","0","0","0.4000000059604645","0.4000000059604645","0.4000000059604645","0","0","0","0.20000000298023224","0.20000000298023224","0.20000000298023224"
"328","0","0","0","0","0","0","0.4000000059604645","0.4000000059604645","0.4000000059604645","0","0","0","0.20000000298023224","0.20000000298023224","0.20000000298023224"
"332","0.20000000298023224","0.20000000298023224","0.20000000298023224","0.20000000298023224","0.20000000298023224","0.20000000298023224","0.20000000298023224","0.20000000298023224","0.20000000298023224","0","0","0","0.20000000298023224","0.20000000298023224","0.20000000298023224"
"336","0.20000000298023224","0.20000000298023224","0.20000000298023224","0","0","0","0","0","0","0","0","0","0","0","0"
"340","0","0","0","0","0","0","0","0","0","0","0","0","0.4000000059604645","0.4000000059604645","0.4000000059604645"
